Location,Lat_Long
"Giripuram, Tirupati, Andhra Pradesh, IN","(13.6372, 79.4120)"
"Anantha Street, Tirupati, Andhra Pradesh, IN","(13.6382, 79.4147)"
"Rajanna Park, Tirupati, Andhra Pradesh, IN","(13.6387, 79.4156)"
"Bhavani Nagar, Tirupati, Andhra Pradesh, IN","(13.6388, 79.4205)"
"Old Maternity Hospital Road, Tirupati, Andhra Pradesh, IN","(13.6389073, 79.4160237)"
"Korlagunta, Tirupati, Andhra Pradesh, IN","(13.6392, 79.4261)"
"Sarojini Devi Nagar, Tirupati, Andhra Pradesh, IN","(13.6397, 79.4110)"
"Singalagunta, Tirupati, Andhra Pradesh, IN","(13.6416, 79.4148)"
"Sundaraiah Nagar, Tirupati, Andhra Pradesh, IN","(13.6416, 79.4237)"
"Akkarampalle, Tirupati, Andhra Pradesh, IN","(13.6425, 79.4359)"
"Balaji Colony (P), Tirupati, Andhra Pradesh, IN","(13.6427, 79.4324)"
"Madhura Nagar, Tirupati, Andhra Pradesh, IN","(13.6430013, 79.4264049)"
"Subbareddy Nagar, Tirupati, Andhra Pradesh, IN","(13.6432, 79.4348)"
"Amerper Dargha, Subbareddy Nagar, Akkarampalle, Tirupati","(13.6434,79.4371)"
"Madura Nagar, Tirupati, Andhra Pradesh, IN","(13.6435, 79.4261)"
"Yashoda Nagar, Tirupati, Andhra Pradesh, IN","(13.6437, 79.4215)"
"Chenna Reddy Colony, Tirupati, Andhra Pradesh, IN","(13.6441, 79.4104)"
"Chennareddy Colony, Tirupati, Andhra Pradesh, IN","(13.6441, 79.4104)"
"brindavanam apartments,tirupati, Andhra Pradesh","(13.6441,79.4509)"
"Madava Nagar, Tirupati, Andhra Pradesh, IN","(13.6446, 79.4322)"
"Sapthagiri Nagar, Tirupati, Andhra Pradesh, IN","(13.6450, 79.4229)"
m basker fish business and fish market wholesale,"(13.6455,79.4570)"
"Shiva Jyothi Nagar, Tirupati, Andhra Pradesh, IN","(13.6458, 79.4292)"
"Srinivasa Nagar, Tirupati, Andhra Pradesh, IN","(13.6466, 79.4198)"
"Old Alipiri Road, Tirupati, Andhra Pradesh, IN","(13.6470032, 79.4059764)"
"Hare Rama Hare Krishna Road, Tirupati, Andhra Pradesh, IN","(13.6473429, 79.4143911)"
"Vinayaka Nagar Quarters, Tirupati, Andhra Pradesh, IN","(13.6474, 79.4145)"
"RTC Bus stand, Tirupati, Andhra Pradesh, IN","(13.6485, 79.4092)"
"Upadyaya nagar,Tirupati, Andhra Pradesh, IN","(13.6502, 79.4365)"
"NGO Colony, Tirupati, Andhra Pradesh, IN","(13.6504, 79.4190)"
"Satyanarayana Puram, Tirupati, Andhra Pradesh, IN","(13.6508, 79.4303)"
" central red sanders Mangalam, Tirupati, Andhra Pradesh ","(13.6530,79.4500)"
rto tirupati,"(13.6539,79.4635)"
"Kranthi Nagar, Tirupati, Andhra Pradesh, IN","(13.6540, 79.4277)"
"Karakambadi Road, Tirupati, Andhra Pradesh, IN","(13.6548126, 79.4695134)"
marasa sarovar tirupati ,"(13.6562,79.4360)"
ravi traders tirupati,"(13.6573,79.4604)"
rambabu grocery store mangalam tirupati,"(13.6575,79.4668)"
"JSK Residency,  Mangalam, Tirupati, Andhra Pradesh","(13.6471,79.4527)"
mangalam quarters idgah,"(13.6607,79.4626)"
"Sono Vision Tirupati,Andhra Pradesh, IN","(13.6402,79.4279)"
"Bio Trim Tirupati,Andhra Pradesh, IN","(13.6463,79.4411)"
"Bommala Quarters, Tirupati, Andhra Prades, IN","(13.6582,79.4740)"
"Pradeep Car Travels, Tirupati,Andhra Pradesh, IN","(13.6613,79.4790)"
"DBR & SK Hospita, Tirupati, Andhra Pradesh, IN","(13.6339,79.4309)"
"Dhruva Vilasam, Tirupati, Andhra Pradesh. IN","(13.6358,79.4347)"
"Madhavam, TTD Guest House, Tirupati, Andhra Pradesh,IN","(13.6320,79.4288)"
