Label,Latitude,Longitude,ID,Place Name,Place Type,Place Address
12,13.6385605,79.4107957,4e949d8cff159d16c15ef14551f1a6c5d68c17a6,Himalaya Medicals,pharmacy,"SVIMS Bus Stop, Srinivasa Nagar, Reservoir Colony, Tirupati"
12,13.6385925,79.4108948,8b4eb6cf224255ed5f4e7830a431604ba0df32eb,HIMALAYA MEDICALS AND SURGICALS,pharmacy,"SHOP NO.9, Municipal Complex, Srinivasa Nagar, Sarojini Devi Layout, Tirupati"
2,13.6339232,79.4193013,17a3a689b0e783957396827d0620c83ed1241432,Indian Pharmacy,pharmacy,"Reddy and Reddy's Colony, Tirupati"
18,13.6234366,79.4294695,10a7d9bff08bbeb44a8e544bd4eef28686502601,Jagannadham Medical Shop,pharmacy,"19-9-29A, Tiruchanoor Road, Kennedy Nagar, Tirupati"
13,13.6539534,79.4644188,9437f97155b1303e72885e2aad552e47fe927962,K.C. Medicals,pharmacy,"Mangalam, Tirupati"
2,13.6325438,79.4183418,b6b1c82ef97d6d4c059d371096ad3eb2bd930147,Kala Medicals,pharmacy,"122, Theertha Katta Street, Nehru Nagar, Tirupati"
11,13.6422325,79.4286903,c754670106d8fde32cfa2b1b81a25be378684ba1,Kishore Medicals,pharmacy,"Shiv Jyoti Nagar, Tirupati"
11,13.639274,79.425934,2b02fc86f230c38529d58e5ef7e2d8b206e44c8a,LAKSHMI APPLE PHARMACY,drugstore,"94, Prakasam Road, Tirupati"
11,13.6380206,79.4235704,f8a85ac18f3a2857dc7c977131edf92ba5dcd35a,Lakshmi Medicals,pharmacy,"Ashok Nagar, Korlagunta, Tirupati"
17,13.6497072,79.4298085,e2e0e94aa650fd51b4a632861e7853ca41dff006,Lakshmi Pradha Medicals,pharmacy,"#21-8-115/3, Jeevankona Road, Sathyanarayanapuram, Tirupati"
14,13.6150281,79.4066058,099c1d4c7a55409184b7dffc8243dace5f57f7bf,Madhu Medicals And Fancy,pharmacy,"Venkatapuram, Tummalagunta Road, Tirupati"
13,13.6545163,79.4679678,7626bc1881cd9bbf6927294dcbc7b7287cdd5b69,mangalam industries limited,pharmacy,"Karakambadi Road, Mangalam, Tirupati"
11,13.639274,79.425934,27177a96ff03f1f11d9d705c1e177a1d35c8fe60,Medicals & Fancy,pharmacy,"337, Prakasam Road, Tirupati"
12,13.6368795,79.4183172,35d1b06c2c59bced45106bc8f7beacc1369d019e,MedPlus Thyagaraja Nagar,pharmacy,"D No 6, 2/77, Thyagaraja Nagar, Tirupati"
